id,x_pos_abs,y_pos_abs,x_pos_perc,y_pos_perc,name,centrality,pass_attempts,pass_completed,comp_percentage
n1,68.72727272727273,37.36363636363637,0.5727272727272728,0.4670454545454546,Antoine Griezmann,0.6875,22,18,0.8181818181818182
n2,60.523809523809526,75.80952380952381,0.5043650793650793,0.9476190476190476,Benjamin Pavard,0.65625,21,17,0.8095238095238095
n3,52.45,15.3,0.4370833333333334,0.19125,Blaise Matuidi,0.625,20,18,0.9
n4,76.5,23.75,0.6375,0.296875,Corentin Tolisso,0.125,4,3,0.75
n5,11.833333333333334,40.166666666666664,0.09861111111111112,0.5020833333333333,Hugo Lloris,0.5625,18,16,0.8888888888888888
n6,76.54545454545455,63.81818181818182,0.6378787878787879,0.7977272727272727,Kylian Mbappé Lottin,0.34375,11,8,0.7272727272727273
n7,54.55555555555556,5.962962962962963,0.45462962962962966,0.07453703703703704,Lucas Hernández Pi,0.84375,27,22,0.8148148148148148
n8,38.1,20.4,0.3175,0.255,"N""Golo Kanté",0.3125,10,7,0.7
n9,72.5,67.5,0.6041666666666666,0.84375,Nabil Fekir,0.0625,2,1,0.5
n10,66.44444444444444,43.666666666666664,0.5537037037037037,0.5458333333333333,Olivier Giroud,0.5625,18,14,0.7777777777777778
n11,51.3125,46.46875,0.4276041666666667,0.580859375,Paul Pogba,1.0,32,29,0.90625
n12,45.5,57.44444444444444,0.37916666666666665,0.7180555555555556,Raphaël Varane,0.5625,18,18,1.0
n13,42.94736842105263,21.68421052631579,0.35789473684210527,0.2710526315789474,Samuel Yves Umtiti,0.59375,19,17,0.8947368421052632
n14,50.785714285714285,37.5,0.4232142857142857,0.46875,"Steven N""Kemboanza Mike Christopher Nzonzi",0.4375,14,14,1.0
